rule,text
20.1. ,"1. Runs Scored
If a ball in play cannot be found or recovered any fieldsman
may call “lost ball” when 6 runs shall be added to the score; but if
more than 6 have been run before “lost ball” is called, as many
runs as have been completed shall be scored. The run in progress
shall count provided that the Batsmen have crossed at the instant
of the call of “lost ball”.

"
20.2. ,"2. How Scored
The runs shall be added to the score of the Striker if the ball
has been struck, but otherwise to the score of byes, leg-byes, no-
balls or wides as the case may be.

"
21,"LAW 21 THE RESULT
"
21.1. ,"1. A Win - Two Innings Matches
The side which has scored a total of runs in excess of that
scored by the opposing side in its two completed innings shall be
the winners.

"
21.2. ,"2. A Win - One Innings Matches
"
21.(a),"(a) One innings matches, unless played out as in 1. above, shall
be decided on the first innings, but see Law 12.5.
(Continuation After One Innings of Each Side).
26
"
21.(b),"(b) If the Captains agree to continue play after the completion
of one innings of each side in accordance with Law 12.5.
(Continuation After One Innings of Each Side) and a result is
not achieved on the second innings, the first innings result shall
stand.

"
21.3. ,"3. Umpires Awarding a Match
"
21.(a),"(a) A match shall be lost by a side which, during the match,
"
21.(i),"(i) refuses to play, or
"
21.(ii),"(ii) concedes defeat,
and the Umpires shall award the match to the other side.
"
21.(b),"(b) Should both Batsmen at the wickets or the fielding side
leave the field at any time without the agreement of the
Umpires, this shall constitute a refusal to play and, on appeal,
the Umpires shall award the match to the other side in
accordance with (a) above.

"
21.4. ,"4. A Tie
The result of a match shall be a tie when the scores are equal at
the conclusion of play, but only if the side batting last has
completed its innings.
If the scores of the completed first innings of a one-day match are
equal, it shall be a tie but only if the match has not been played out
to a further conclusion.

"
21.5. ,"5. A Draw
A match not determined in any of the ways as in 1, 2, 3 and 4
above shall count as a draw.

"
21.6. ,"6. Correctness of Result
Any decision as to the correctness of the scores shall be the
responsibility of the Umpires. See Law 3.14. (Correctness of
Scores).
If, after the Umpires and Players have left the field, in the belief
that the match has been concluded, the Umpires decide that a
mistake in scoring has occurred, which affects the result, and
provided time has not been reached, they shall order play to
resume and to continue until the agreed finishing time unless a
result is reached earlier.
If the Umpires decide that a mistake has occurred and time has
been reached, the Umpires shall immediately inform both
Captains of the necessary corrections to the scores and, if
27
applicable, to the result.

"
21.7. ,"7. Acceptance of Result
In accepting the scores as notified by the scorers and agreed by
the Umpires, the Captains of both sides thereby accept the result.
NOTES
"
21.(a),"(a) Statement of Results
The result of a finished match is stated as a win by runs, except
in the case of a win by the side batting last when it is by the number
of wickets still then to fall.

"
21.(b),"(b) Winning Hit or Extras
As soon as the side has won, see 1. and 2. above, the Umpire
shall call “time”, the match is finished, and nothing that happens
thereafter other than as a result of a mistake in scoring, see 6.
above, shall be regarded as part of the match.
However, if a boundary constitutes the winning hit — or extras —
and the boundary allowance exceeds the number of runs required to
win the match, such runs scored shall be credited to the side's total
and, in the case of a hit to the Striker's score.

"
22,"LAW 22 THE OVER
"
22.1. ,"1. Number of Balls
The ball shall be bowled from each wicket alternately in overs
of either 6 or 8 balls according to agreement before the match.

"
22.2. ,"2. Call of “Over”
When the agreed number of balls has been bowled, and as the
ball becomes dead or when it becomes clear to the Umpire at the
Bowler’s end that both the fielding side and the Batsmen at the
wicket have ceased to regard the ball as in play, the Umpire shall
call “over” before leaving the wicket.

"
22.3. ,"3. No Ball or Wide Ball
Neither a no ball nor a wide ball shall be reckoned as one of the
over.

"
22.4. ,"4. Umpire Miscounting
If an Umpire miscounts the number of balls, the over as
counted by the Umpire shall stand.

"
22.5. ,"5. Bowler Changing Ends
A Bowler shall be allowed to change ends as often as desired
28
provided only that he does not bowl two overs consecutively in an
innings.

"
22.6. ,"6. The Bowler Finishing an Over
A Bowler shall finish an over in progress unless he be
incapacitated or be suspended under Law 42.8. (The Bowling of
Fast Short Pitched Balls), 42.9. (The Bowling of Fast High Full
Pitches), 42.10. (Time Wasting) and 42.11. (Players Damaging the
Pitch). If an over is left incomplete for any reason at the start of an
interval or interruption of play, it shall be finished on the
resumption of play.

"
22.7. ,"7. Bowler Incapacitated or Suspended During an Over
If, for any reason, a Bowler is incapacitated while running up
to bowl the first ball of an over, or is incapacitated or suspended
during an over, the Umpire shall call and signal “dead ball” and
another Bowler shall be allowed to bowl or complete the over from
the same end, provided only that he shall not bowl two overs, or
part thereof, consecutively in one innings.

"
22.8. ,"8. Position of Non-Striker
The Batsman at the Bowler’s end shall normally stand on the
opposite side of the wicket to that from which the ball is being
delivered, unless a request to do otherwise is granted by the
Umpire.

"
23,"LAW 23 DEAD BALL
"
23.1. ,"1. The Ball Becomes Dead, when:-
"
23.(a),"(a) It is finally settled in the hands of the Wicket Keeper or the
Bowler.
"
23.(b),"(b) It reaches or pitches over the boundary.
"
23.(c),"(c) A Batsman is out.
"
23.(d),"(d) Whether played or not, it lodges in the clothing or
equipment of a Batsman or the clothing of an Umpire.
"
23.(e),"(e) A ball lodges in a protective helmet worn by a member of
the fielding side.
"
23.(f),"(f) A penalty is awarded under Law 20. (Lost Ball) or Law
41.1. (Fielding the Ball).
"
23.(g),"(g) The Umpire calls “over” or “time”.

"
23.2. ,"2. Either Umpire Shall Call and Signal “Dead Ball”,
29
when:-
"
23.(a),"(a) He intervenes in a case of unfair play.
"
23.(b),"(b) A serious injury to a Player or Umpire occurs.
"
23.(c),"(c) He is satisfied that, for an adequate reason, the Striker is not
ready to receive the ball and makes no attempt to play it.
"
23.(d),"(d) The Bowler drops the ball accidentally before delivery, or
the ball does not leave his hand for any reason.
"
23.(e),"(e) One or both bails fall from the Striker’s wicket before he
receives delivery.
"
23.(f),"(f) He leaves his normal position for consultation.
"
23.(g),"(g) He is required to do so under Laws 26.3. (Disallowance of
Leg-Byes), etc.

"
23.3. ,"3. The Ball Ceases to be Dead, when:-
"
23.(a),"(a) The Bowler starts his run up or bowling action.

"
23.4. ,"4. The Ball is Not Dead, when:-
"
23.(a),"(a) It strikes an Umpire (unless it lodges in his dress).
"
23.(b),"(b) The wicket is broken or struck down (unless a Batsman is
out thereby).
"
23.(c),"(c) An unsuccessful appeal is made.
"
23.(d),"(d) The wicket is broken accidentally either by the Bowler
during his delivery or by a Batsman in running.
"
23.(e),"(e) The Umpire has called “no ball” or “wide”.

NOTES
"
23.(a),"(a) Ball Finally Settled
Whether the ball is finally settled or not — see 1 (a) above —
must be a question for the Umpires alone to decide.
"
23.(b),"(b) Action on Call of “Dead Ball”
"
23.(i),"(i) If “dead ball” is called prior to the Striker receiving a
delivery the Bowler shall be allowed an additional ball.
"
23.(ii),"(ii) If “dead ball” is called after the Striker receives a delivery
the Bowler shall not be allowed an additional ball, unless a
“no-ball” or “wide” has been called.

"
24,"LAW 24 NO BALL
"
24.1. ,"1. Mode of Delivery
The Umpire shall indicate to the Striker whether the Bowler
intends to bowl over or round the wicket, overarm or underarm,
30
or right or left-handed. Failure on the part of the Bowler to
indicate in advance a change in his mode of delivery is unfair and
the Umpire shall call and signal “no ball”.

"
24.2. ,"2. Fair Delivery - The Arm
For a delivery to be fair the ball must be bowled not thrown —
see Note (a) below. If either Umpire is not entirely satisfied with
the absolute fairness of a delivery in this respect he shall call and
signal “no ball” instantly upon delivery.

"
24.3. ,"3. Fair Delivery - The Feet
The Umpire at the bowler’s wicket shall call and signal “no
ball” if he is not satisfied that in the delivery stride:-
"
24.(a),"(a) the Bowler’s back foot has landed within and not touching
the return crease or its forward extension
or
"
24.(b),"(b) some part of the front foot whether grounded or raised was
behind the popping crease.

"
24.4. ,"4. Bowler Throwing at Striker’s Wicket Before Delivery
If the Bowler, before delivering the ball, throws it at the
Striker’s wicket in an attempt to run him out, the Umpire shall call
and signal “no ball”. See Law 42.12. (Batsman Unfairly Stealing a
Run) and Law 38. (Run Out).

"
24.5. ,"5. Bowler Attempting to Run Out Non-Striker Before
Delivery
If the Bowler, before delivering the ball, attempts to run out
the non-Striker, any runs which result shall be allowed and shall be
scored as no balls. Such an attempt shall not count as a ball in the
over. The Umpire shall not call “no ball”. See Law 42.12.
(Batsman Unfairly Stealing a Run).

"
24.6. ,"6. Infringement of Laws by a Wicket-Keeper or a
Fieldsman
The Umpire shall call and signal “no ball” in the event of the
Wicket-Keeper infringing Law 40.1. (Position of Wicket-Keeper)
or a Fieldsman infringing Law 41.2. (Limitation of On-side
Fieldsmen) or Law 41.3. (Position of Fieldsmen).

"
24.7. ,"7. Revoking a Call
An Umpire shall revoke the call “no ball” if the ball does not
31
leave the Bowler’s hand for any reason. See Law 23.2. (Either
Umpire Shall Call and Signal “Dead Ball”).

"
24.8. ,"8. Penalty
A penalty of one run for a no ball shall be scored if no runs
are made otherwise.

"
24.9. ,"9. Runs From a No Ball
The Striker may hit a no ball and whatever runs result shall
be added to his score. Runs made otherwise from a no ball shall be
scored no balls.

"
24.10. ,"10. Out From a No Ball
The Striker shall be out from a no ball if he breaks Law 34.
(Hit the Ball Twice) and either Batsman may be Run Out or shall
be given out if either breaks Law 33. (Handled the Ball) or Law 37.
(Obstructing the Field).

"
24.11. ,"11. Batsman Given Out Off a No Ball
Should a Batsman be given out off a no ball the penalty for
bowling it shall stand unless runs are otherwise scored.

NOTES
"
24.(a),"(a) Definition of a Throw
A ball shall be deemed to have been thrown if, in the opinion of
either Umpire, the process of straightening the bowling arm,
whether it be partial or complete, takes place during that part of
the delivery swing which directly precedes the ball leaving the
hand. This definition shall not debar a Bowler from the use of the
wrist in the delivery swing.
"
24.(b),"(b) No Ball not Counting in Over
A no ball shall not be reckoned as one of the over. See Law 22.3.
(No Ball or Wide Ball).

"
25,"LAW 25 WIDE BALL
"
25.1. ,"1. Judging a Wide
If the Bowler bowls the ball so high over or so wide of the
wicket that, in the opinion of the Umpire it passes out of reach of
the Striker, standing in a normal guard position, the Umpire shall
call and signal “wide ball” as soon as it has passed the line of the
Striker’s wicket.
The Umpire shall not adjudge a ball as being a wide if:-
32
"
25.(a),"(a) The Striker, by moving from his guard position, causes the
ball to pass out of his reach.
"
25.(b),"(b) The Striker moves and thus brings the ball within his reach.

"
25.2. ,"2. Penalty
A penalty of one run for a wide shall be scored if no runs are
made otherwise.

"
25.3. ,"3. Ball Coming to Rest in Front of the Striker
If a ball which the Umpire considers to have been delivered
comes to rest in front of the line of the Striker’s wicket, “wide”
shall not be called. The Striker has a right, without interference
from the fielding side, to make one attempt to hit the ball. If the
fielding side interfere, the Umpire shall replace the ball where it
came to rest and shall order the Fieldsmen to resume the places
they occupied in the field before the ball was delivered.
The Umpire shall call and signal “dead ball” as soon as it is clear
that the Striker does not intend to hit the ball, or after the Striker
has made one unsuccessful attempt to hit the ball.
"
25.4. ,"4. Revoking a Call
The Umpire shall revoke the call if the Striker hits a ball which
has been called “wide”.
"
25.5. ,"5. Ball Not Dead
The ball does not become dead on the call of “wide ball” — see
Law 23.4. (The Ball is Not Dead).
"
25.6. ,"6. Runs Resulting from a Wide
All runs which are run or result from a wide ball which is not a
no ball shall be scored wide balls, or if no runs are made one shall
be scored.
"
25.7. ,"7. Out from a Wide
The Striker shall be out from a wide ball if he breaks Law 35.
(Hit Wicket) or Law 39. (Stumped). Either Batsman may be Run
Out and shall be out if he breaks Law 33. (Handled the Ball) or
Law 37. (Obstructing the Field).
"
25.8. ,"8. Batsman Given Out Off a Wide
Should a Batsman be given out off a wide, the penalty for
bowling it shall stand unless runs are otherwise made.
NOTES
"
25.(a),"(a) Wide Ball not Counting in Over
33
A wide ball shall not be reckoned as one of the over — see Law
22.3. (No Ball or Wide Ball).
"
26,"LAW 26 BYE AND LEG-BYE
"
26.1. ,"1. Byes
If the ball, not having been called “wide” or “no ball” passes
the Striker without touching his bat or person, and any runs are
obtained, the Umpire shall signal “bye” and the run or runs shall
be credited as such to the batting side.
"
26.2. ,"2. Leg-Byes
If the ball, not having been called “wide” or “no ball” is
unintentionally deflected by the Striker’s dress or person, except a
hand holding the bat, and any runs are obtained the Umpire shall
signal “leg-bye” and the run or runs so scored shall be credited as
such to the batting side.
Such leg-byes shall only be scored if, in the opinion of the Umpire,
the Striker has:
"
26.(a),"(a) attempted to play the ball with his bat, or
"
26.(b),"(b) tried to avoid being hit by the ball.
"
26.3. ,"3. Disallowance of Leg-Byes
In the case of a deflection by the Striker’s person, other than in
2(a) and (b) above, the Umpire shall call and signal “dead ball” as
soon as one run has been completed or when it is clear that a run is
not being attempted or the ball has reached the boundary.
On the call and signal of “dead ball” the Batsmen shall return to
their original ends and no runs shall be allowed.
"
27,"LAW 27 APPEALS
"
27.1. ,"1. Time of Appeals
The Umpires shall not give a Batsman out unless appealed to
by the other side which shall be done prior to the Bowler
beginning his run-up or bowling action to deliver the next ball.
Under Law 23.1.(g) (The Ball Becomes Dead) the ball is dead on
“over” being called; this does not, however, invalidate an appeal
made prior to the first ball of the following over provided “time”
has not been called. See Law 17.1. (Call of Time).
"
27.2. ,"2. An Appeal “How’s That?”
An appeal “How’s That?” shall cover all ways of being out.

34
"
27.3. ,"3. Answering Appeals
The Umpire at the Bowler’s wicket shall answer appeals before
the other Umpire in all cases except those arising out of Law 35.
(Hit Wicket) or Law 39. (Stumped) or Law 38. (Run Out) when
this occurs at the Striker’s wicket.
When either Umpire has given a Batsman not out, the other
Umpire shall, within his jurisdiction, answer the appeal or a
further appeal, provided it is made in time in accordance with 1.
above (Time of Appeals).
"
27.4. ,"4. Consultation by Umpires
An Umpire may consult with the other Umpire on a point of
fact which the latter may have been in a better position to see and
shall then give his decision. If, after consultation, there is still
doubt remaining the decision shall be in favour of the Batsman.
"
27.5. ,"5. Batsman Leaving his Wicket under a Misapprehension
The Umpires shall intervene if satisfied that a Batsman, not
having been given out, has left his wicket under a misapprehension
that he has been dismissed.
"
27.6. ,"6. Umpire’s Decision
The Umpire’s decision is final. He may alter his decision,
provided that such alteration is made promptly.
"
27.7. ,"7. Withdrawal of an Appeal
In exceptional circumstances the Captain of the fielding side
may seek permission of the Umpire to withdraw an appeal
providing the outgoing Batsman has not left the playing area. If
this is allowed, the Umpire shall cancel his decision.
"
28,"LAW 28 THE WICKET IS DOWN
"
28.1. ,"1. Wicket Down
The wicket is down if:-
"
28.(a),"(a) Either the ball or the Striker’s bat or person completely
removes either bail from the top of the stumps. A disturbance
of a bail, whether temporary or not, shall not constitute a
complete removal, but the wicket is down if a bail in falling
lodges between two of the stumps.
"
28.(b),"(b) Any player completely removes with his hand or arm a bail
from the top of the stumps, providing that the ball is held in
35
that hand or in the hand of the arm so used.
"
28.(c),"(c) When both bails are off, a stump is struck out of the ground
by the ball, or a player strikes or pulls a stump out of the
ground, providing that the ball is held in the hand(s) or in the
hand of the arm so used.
"
28.2. ,"2. One Bail Off
If one bail is off, it shall be sufficient for the purpose of putting
the wicket down to remove the remaining bail, or to strike or pull
any of the three stumps out of the ground in any of the ways stated
in 1. above.
"
28.3. ,"3. All the Stumps Out of the Ground
If all the stumps are out of the ground, the fielding side shall be
allowed to put back one or more stumps in order to have an
opportunity of putting the wicket down.
"
28.4. ,"4. Dispensing with Bails
If owing to the strength of the wind, it has been agreed to
dispense with the bails in accordance with Law 8. Note (a)
(Dispensing with Bails) the decision as to when the wicket is down
is one for the Umpires to decide on the facts before them. In such
circumstances and if the Umpires so decide the wicket shall be
held to be down even though a stump has not been struck out of
the ground.
NOTES
"
28.(a),"(a) Remaking the Wicket
If the wicket is broken while the ball is in play, it is not the
Umpire's duty to remake the wicket until the ball has become dead
— see Law 23. (Dead Ball). A member of the fielding side,
however, may remake the wicket in such circumstances.
"
29,"LAW 29 BATSMAN OUT OF HIS GROUND
"
29.1. ,"1. When out of his Ground
A Batsman shall be considered to be out of his ground unless
some part of his bat in his hand or of his person is grounded
behind the line of the popping crease.
36
"
30,"LAW 30 BOWLED
"
30.1. ,"1. Out Bowled
The Striker shall be out bowled if:-
"
30.(a),"(a) His wicket is bowled down, even if the ball first touches his
bat or person.
"
30.(b),"(b) He breaks his wicket by hitting or kicking the ball on to it
before the completion of a stroke, or as a result of attempting to
guard his wicket. See Law’ 34.1. (Out - Hit the Ball Twice).
NOTES
"
30.(a),"(a) Out Bow'led - Not L.B.W.
The Striker is out Bowled if the ball is deflected on to his wicket
even though a decision against him would be justified under Law
36 (Leg Before Wicket).
"
31,"LAW 31 TIMED OUT
"
31.1. ,"1. Out Timed Out
An incoming Batsman shall be out Timed Out if he wilfully
takes more than two minutes to come in — the two minutes being
timed from the moment a wicket falls until the new batsman steps
on to the field of play.
If this is not complied with and if rhe Umpire is satisfied that the
delay was wilful and if an appeal is made, the new Batsman shall
be given out by the Umpire at the Bowler’s end.
"
31.2. ,"2. Time to be Added
The time taken by the Umpires to investigate the cause of the
delay shall be added at the normal close of play.
NOTES
"
31.(a),"(a) Entry in Score Book
The correct entry in the score book when a Batsman is given out
under this Law is “timed out”, and the Bowler does not get credit
for the wicket.
"
31.(b),"(b) Batsmen Crossing on the Field of Play
It is an essential duty of the Captains to ensure that the in-
going Batsman passes the out-going one before the latter leaves the
field of play.
37
"
32,"LAW 32 CAUGHT
"
32.1. ,"1. Out Caught
The Striker shall be out Caught if the ball touches his bat or if
it touches below the wrist his hand or glove, holding the bat, and is
subsequently held by a Fieldsman before it touches the ground.
"
32.2. ,"2. A Fair Catch
A catch shall be considered to have been fairly made if:-
"
32.(a),"(a) The Fieldsman is within the field of play throughout the act
of making the catch.
"
32.(i),"(i) The act of making the catch shall start from the time
when the Fieldsman first handles the ball and shall end
when he both retains complete control over the further
disposal of the ball and remains within the field of play.
"
32.(ii),"(ii) In order to be within the field of play, the Fieldsman
may not touch or ground any part of his person on or over a
boundary line. When the boundary is marked by a fence or
board the Fieldsman may not ground any part of his person
over the boundary fence or board, but may touch or lean
over the boundary fence or board in completing the catch.
"
32.(b),"(b) The ball is hugged to the body of the catcher or accidentally
lodges in his dress or, in the case of the Wicket-Keeper, in his
pads. However, a Striker may not be caught if a ball lodges in a
protective helmet worn by a Fieldsman, in which case the
Umpire shall call and signal “dead ball”. See Law 23. (Dead
Ball).
"
32.(c),"(c) The ball does not touch the ground even though a hand
holding it does so in effecting the catch.
"
32.(d),"(d) A Fieldsman catches the ball, after it has been lawfully
played a second time by the Striker, but only if the ball has not
touched the ground since being first struck.
"
32.(e),"(e) A Fieldsman catches the ball after it has touched an
Umpire, another Fieldsman or the other Batsman. However a
Striker may not be caught if a ball has touched a protective
helmet worn by a Fieldsman.
"
32.(f),"(f) The ball is caught off an obstruction within the boundary
provided it has not previously been agreed to regard the
obstruction as a boundary.
38
"
32.3. ,"3. Scoring of Runs
If a Striker is caught, no runs shall be scored.
NOTES
"
32.(a),"(a) Scoring from an Attempted Catch
When a Fieldsman carrying the ball touches or grounds any
part of his person on or over a boundary marked by a line, 6 runs
shall be scored.
"
32.(b),"(b) Ball Still in Play
If a Fieldsman releases the ball before he crosses the boundary,
the ball will be considered to be still in play and it may be caught by
another Fieldsman. However, if the original Fieldsman returns to
the field of play and handles the ball, a catch may not be made.
"
33,"LAW 33 HANDLED THE BALL
"
33.1. ,"1. Out Handled the Ball
Either Batsman on appeal shall be out Handled the Ball if he
wilfully touches the ball while in play with the hand not holding
the bat unless he does so with the consent of the opposite side.
NOTES
"
33.(a),"(a) Entry in Score Book
The correct entry in the score book when a Batsman is given out
under this Law is “handled the ball”, and the Bowler does not get
credit for the wicket.
"
34,"LAW 34 HIT THE BALL TWICE
"
34.1. ,"1. Out Hit the Ball Twice
The Striker, on appeal, shall be out Hit the Ball Twice if, after
the ball is struck or is stopped by any part of his person, he
wilfully strikes it again with his bat or person except for the sole
purpose of guarding his wicket: this he may do with his bat or any
part of his person other than his hands, but see Law 37.2.
(Obstructing a Ball From Being Caught).
For the purpose of this Law, a hand holding the bat shall be
regarded as part of the bat.
"
34.2. ,"2. Returning the Ball to a Fieldsman
The Striker, on appeal, shall be out under this Law, if, without
the consent of the opposite side, he uses his bat or person to return
39
the ball to any of the fielding side.
"
34.3. ,"3. Runs from Ball Lawfully Struck Twice
No runs except those which result from an overthrow or
penalty, see Law 41. (The Fieldsman), shall be scored from a ball
lawfully struck twice.
NOTES
"
34.(a),"(a) Entry in Score Book
The correct entry in the score book when the Striker is given out
under this Law is “hit the ball twice”, and the Bowler does not get
credit for the wicket.
"
34.(b),"(b) Runs Credited to the Batsman
Any runs awarded under 3. above as a result of an overthrow
or penalty shall be credited to the Striker, provided the ball in the
first instance has touched the bat, or, if otherwise as extras.
"
35,"LAW 35 HIT WICKET
"
35.1. ,"1. Out Hit Wicket
The Striker shall be out Hit Wicket if, while the ball is in play:-
"
35.(a),"(a) His wicket is broken with any part of his person, dress, or
equipment as a result of any action taken by him in preparing
to receive or in receiving a delivery, or in setting off for his first
run, immediately after playing, or playing at, the ball.
"
35.(b),"(b) He hits down his wicket whilst lawfully making a second
stroke for the purpose of guarding his wicket within the
provisions of Law 34.1. (Out Hit the Ball Twice).
NOTES
"
35.(a),"(a) Not Out Hit Wicket
A Batsman is not out under this Law should his wicket be
broken in any of the ways referred to in 1(a) above if:-
"
35.(i),"(i) It occurs while he is in the act of running, other than in
setting off for his first run immediately after playing at the
ball, or while he is avoiding being run out or stumped.
"
35.(ii),"(ii) The Bowler after starting his run-up or bowling action does
not deliver the ball; in which case the Umpire shall immediately
call and signal “dead ball”.
"
35.(iii),"(iii) It occurs whilst he is avoiding a throw-in at any time.
40
"
36,"LAW 36 LEG BEFORE WICKET
"
36.1. ,"1. Out L.B.W.
The Striker shall be out L.B.W. in the circumstances set out
below:-
"
36.(a),"(a) Striker Attempting to Play the Ball
The Striker shall be out L.B.W. if he first intercepts with
any part of his person, dress or equipment a fair ball which
would have hit the wicket and which has not previously
touched his bat or a hand holding the bat, provided that:-
"
36.(i),"(i) The ball pitched, in a straight line between wicket and
wicket or on the off side of the Striker’s wicket, or in the
case of a ball intercepted full pitch would have pitched in a
straight line between wicket and wicket.
and
"
36.(ii),"(ii) the point of impact is in a straight line between wicket
and wicket, even if above the level of the bails.
"
36.(b),"(b) Striker Making No Attempt to Play the Ball
The Striker shall be out LBW even if the ball is intercepted
outside the line of the off-stump, if, in the opinion of the
Umpire, he has made no genuine attempt to play the ball with
his bat, but has intercepted the ball with some part of his
person and if the circumstances set out in (a) above apply.
"
37,"LAW 37 OBSTRUCTING THE FIELD
"
37.1. ,"1. Wilful Obstruction
Either Batsman, on appeal, shall be out Obstructing the Field if
he wilfully obstructs the opposite side by word or action.
"
37.2. ,"2. Obstructing a Ball from Being Caught
The Striker, on appeal, shall be out should wilful obstruction
by either Batsman prevent a catch being made.
This shall apply even though the Striker causes the obstruction in
lawfully guarding his wicket under the provisions of Law 34. See
Law 34.1. (Out Hit the Ball Twice).
NOTES
"
37.(a),"(a) Accidental Obstruction
The Umpires must decide whether the obstruction was wilful or
not. The accidental interception of a throw-in by a Batsman while
running does not break this Law.
41
"
37.(b),"(b) Entry in Score Book
The correct entry in the score book when a Batsman is given out
under this Law is “obstructing the field”, and the bowler docs not
get credit for the wicket.
"
38,"LAW 38 RUN OUT
"
38.1. ,"1. Out Run Out
Either Batsman shall be out Run Out if in running or at any
time while the ball is in play — except in the circumstances
described in Law 39. (Stumped) — he is out of his ground and his
wicket is put down by the opposite side. If, however, a Batsman in
running makes good his ground he shall not be out Run Out, if he
subsequently leaves his ground, in order to avoid injury, and the
wicket is put down.

"
38.2. ,"2. “No Ball” Called
If a no ball has been called, the Striker shall not be given Run
Out unless he attempts to run.

"
38.3. ,"3. Which Batsman is Out
If the Batsmen have crossed in running, he who runs for the
wicket which is put down shall be out; if they have not crossed, he
who has left the wicket which is put down shall be out. If a
Batsman remains in his ground or returns to his ground and the
other Batsman joins him there, the latter shall be out if his wicket
is put down.

"
38.4. ,"4. Scoring of Runs
If a Batsman is run out, only that run which is being attempted
shall not be scored. If however an injured Striker himself is run
out, no runs shall be scored. See Law 2.7. (Transgression of the
Laws by an Injured Batsman or Runner).

NOTES
"
38.(a),"(a) Ball Played on to Opposite Wicket
If the ball is played on to the opposite wicket neither Batsman
is liable to be Run Out unless the ball has been touched by a
Fieldsman before the wicket is broken.

"
38.(b),"(b) Entry in Score Book
The correct entry in the score book when the Striker is given out
under this Law is “run out”, and the Bowler does not get credit for
the wicket.

42
"
39,"LAW 39 STUMPED

"
39.1. ,"1. Out Stumped
The Striker shall be out Stumped if, in receiving a ball, not
being a no-ball, he is out of his ground otherwise than in
attempting a run and the wicket is put down by the Wicket-Keeper
without the intervention of another Fieldsman.

"
39.2. ,"2. Action by the Wicket-Keeper
The Wicket-Keeper may take the ball in front of the wicket in
an attempt to Stump the Striker only if the ball has touched the bat
or person of the Striker.

NOTES
"
39.(a),"(a) Ball Rebounding from Wicket-Keeper’s Person
The Striker may be out Stumped if in the circumstances stated
in 1. above, the wicket is broken by a ball rebounding from the
Wicket-Keeper's person or equipment or is kicked or thrown by the
Wicket-Keeper on to the wicket.

"
40,"LAW 40 THE WICKET-KEEPER

"
40.1. ,"1. Position of Wicket-Keeper
The Wicket-Keeper shall remain wholly behind the wicket
until a ball delivered by the Bowler touches the bat or person of
the Striker, or passes the wicket, or until the Striker attempts a
run.
In the event of the Wicket-Keeper contravening this Law, the
Umpire at the Striker’s end shall call and signal “no ball” at the
instant of delivery or as soon as possible thereafter.

"
40.2. ,"2. Restriction on Actions of the Wicket-Keeper
If the Wicket-Keeper interferes with the Striker’s right to play
the ball and to guard his wicket, the Striker shall not be out, except
under Laws 33. (Handled the Ball), 34. (Hit the Ball Twice), 37.
(Obstructing the Field) and 38. (Run Out).

"
40.3. ,"3. Interference with the Wicket-Keeper by the Striker
If in the legitimate defence of his wicket, the Striker interferes
with the Wicket-Keeper, he shall not be out, except as provided for
in Law 37.2. (Obstructing a Ball From Being Caught).

43
"
41,"LAW 41 THE FIELDSMAN

"
41.1. ,"1. Fielding the Ball
The Fieldsman may stop the ball with any part of his person,
but if he wilfully stops it otherwise, 5 runs shall be added to the
run or runs already scored; if no run has been scored 5 penalty
runs shall be awarded. The run in progress shall count provided
that the Batsmen have crossed at the instant of the act. If the ball
has been struck, the penalty shall be added to the score of the
Striker, but otherwise to the score of byes, leg-byes, no balls or
wides as the case may be.

"
41.2. ,"2. Limitation of On-Side Fieldsmen
The number of on-side Fieldsmen behind the popping crease at
the instant of the Bowler’s delivery shall not exceed two. In the
event of infringement by the fielding side the Umpire at the
Striker’s end shall call and signal “no ball” at the instant of
delivery or as soon as possible thereafter.

"
41.3. ,"3. Position of Fieldsmen
Whilst the ball is in play and until the ball has made contact
with the bat or the Striker’s person or has passed his bat, no
Fieldsman, other than the Bowler, may stand on or have any part
of his person extended over the pitch (measuring 22 yards/
20.12 m. x 10 ft./3.05 m.). In the event of a Fieldsman
contravening this Law, the Umpire at the bowler’s end shall call
and signal “no ball” at the instant of delivery or as soon as possible
thereafter. See Law 40.1. (Position of Wicket-Keeper).

NOTES
"
41.(a),"(a) Batsmen Changing Ends
The 5 runs referred to in 1. above are a penalty and the
Batsmen do not change ends solely by reason of this penalty.

"
42,"LAW 42 UNFAIR PLAY

"
42.1. ,"1. Responsibility of Captains
The Captains are responsible at all times for ensuring that play
is conducted within the spirit of the game as well as within the
Laws.

44
"
42.2. ,"2. Responsibility of Umpires
The Umpires are the sole judges of fair and unfair play.

"
42.3. ,"3. Intervention by the Umpire
The Umpires shall intervene without appeal by calling and
signalling “dead ball” in the case of unfair play, but should not
otherwise interfere with the progress of the game except as
required to do so by the Laws.

"
42.4. ,"4. Lifting the Seam
A Player shall not lift the seam of the ball for any reason.
Should this be done, the Umpires shall change the ball for one of
similar condition to that in use prior to the contravention. See
Note (a).

"
