rule,text
29.—,"29.—Or, if he touch with his hands or take up the ball while in play, unless at the request of the opposite side;—“Handled the ball.”
"
30.—,"30.—Or, if he wilfully obstruct any Fieldsman;—“Obstructing the field.”
Note on Law 30.
The Umpire must decide on the facts before him if the obstruction was “wilful.”
"
31.—,"31.—If the batsmen have crossed each other, he that runs for the wicket which is put down Is out; if they have not crossed he that has left the wicket which is put down is out.
"
32.—,"32.—The Striker being caught no run shall be scored. A Batsman being run out, that run which was being attempted shall not be scored.
Notes on Law 32.
(See Notes on Law’ 22.)
Although that run which is being attempted shall not be scored it is not the custom for the remaining batsman to resume his position at the wicket he has left if he and his partner have crossed.
12

"
33a.—,"33a.—A Batsman being out from any cause, the ball shall be “Dead”
"
33b.—,"33b.—If the Ball, whether struck with the bat or not, lodges in a Batsman’s Clothing, the ball
shall become “Dead.”
Notes on Laws 33a and 33b.
A ball does not become “Dead” when the bails are off or the wickets
struck down or because an unsuccessful appeal has been made to the
Umpire.
Lodging in a batsman’s clothing includes practically all ways in which
a
ball can be said to lodge in or against his clothing.
The ball does not become “Dead” on hitting the Umpire.
The ball ceases to be “Dead” when the bowler begins his run or
bowling action.
"
34.—,"34.—If a ball in play cannot be found or recovered, any Fieldsman may
call “Lost Ball,” when the ball shall be “Dead”; six runs shall be
added to
the score; but if more than six runs have been run before “Lost Ball”
has
been called, as many runs as have been run shall be scored.
Note on Law 34.
A ball can only become “Dead” under Laws 33a, 33b, 34, 35, 41 & 50,
or on the call of a boundary hit.

"
35.—,"35.—After the ball shall have been finally settled in the Wicket-
keeper’s
or Bowler’s hand, it shall be “Dead”; but when the Bowler is about to
deliver the ball, if the Batsman at his wicket be out of his ground
before
actual delivery, the said Bowler may run him out; but if the Bowler
throw
at that wicket and any run result, it shall be scored “No Ball.”
Notes on Law 35.
Whether the ball is “finally settled” is a question of fact for the
Umpire
only to decide.
A bowler may run a Batsman out, without having delivered the ball, in
anyway authorized by the Laws. He may have passed the howling crease
in his run or may change the ball from one hand to the other before
throwing
at the wicket or knocking off the bails. The bails may be knocked off
from
either side of the wickets.
"
36.—,"36.—A Batsman shall not retire from his wicket and return to it to
complete his innings after another has been in, without the consent of
the
opposite side.
"
37.—,"37.—A substitute shall be allowed to field or run between wickets for
any player, who may during the match, be incapacitated from illness or
injury, but for no other reason, except with the consent of the
opposite side.
13
Notes on Law 37.
It is well to remember that a side which loses a player’s services
through
illness or injury, brought about during a match, is entitled to a
substitute,
“it shall be allowed” whereas under other circumstances consent is
necessary
which must depend upon the courtesy of the opposing Captain.
Many disputes would be avoided if the Captains, before tossing,
exchanged lists of the players.
There is no law prohibiting a player from bowling because he has had a
substitute to run for him.
A side which has been short in the field may bat with its full number.
"
