name,distribution,best_fit,pl_alpha,pl_ll,po_lambda,po_ll,plc_alpha,plc_lam,plc_ll
2008,in_degree,poisson,0.805805,-99.2879,4.76316,-93.7112,,,-inf
2008,out_degree,powerlaw,0.597464,-90.4019,4.89189,-96.5155,,,-inf
2008,in_weight,powerlaw,0.915682,-115.047,6.68421,-137.641,,,-inf
2008,out_weight,powerlaw,0.718581,-105.566,6.86486,-135.135,,,-inf
2010,in_degree,powerlaw,0.500005,-91.9495,4.74359,-93.1337,,,-inf
2010,out_degree,powerlaw,0.731764,-92.6433,5,-103.242,,,-inf
2010,in_weight,powerlaw,0.690559,-113.62,6.92308,-137.184,,,-inf
2010,out_weight,powerlaw,0.614381,-104.902,7.2973,-146.135,0.337174,0.050503,-104.691
2017,in_degree,powerlaw,0.603938,-85.6296,4,-87.2509,,,-inf
2017,out_degree,powerlaw,0.849023,-87.2793,4,-95.4955,,,-inf
2017,in_weight,powerlaw_cutoff,0.920269,-114.047,7.07692,-163.592,0.21031,0.114411,-111.812
2017,out_weight,powerlaw_cutoff,0.834606,-113.056,7.07692,-156.857,0.181164,0.110213,-111.412
2019,in_degree,powerlaw,0.567407,-88.3575,4.05,-89.6861,,,-inf
2019,out_degree,powerlaw,0.896133,-88.6972,4.15385,-101.8,0.231476,0.177235,-87.9117
2019,in_weight,powerlaw_cutoff,0.936112,-118.229,7.025,-164.163,0.0542999,0.139541,-114.65
2019,out_weight,powerlaw_cutoff,0.923947,-113.882,7.20513,-171.24,0.332955,0.0946104,-112.285
